start,end
2020-01-02,2020-02-03
2020-02-04,2020-03-05
2020-03-06,2020-04-06
2020-04-07,2020-05-07
2020-05-08,2020-06-09
2020-06-10,2020-07-10
2020-07-13,2020-08-11
2020-08-12,2020-09-11
2020-09-14,2020-10-13
2020-10-14,2020-11-12
2021-01-04,2021-02-03
2021-02-04,2021-03-08
2021-03-09,2021-04-08
2021-04-09,2021-05-10
2021-05-11,2021-06-10
2021-06-11,2021-07-13
2021-07-14,2021-08-12
2021-08-13,2021-09-14
2021-09-15,2021-10-14
2021-10-15,2021-11-15
2022-01-03,2022-02-02
2022-02-03,2022-03-07
2022-03-08,2022-04-06
2022-04-07,2022-05-09
2022-05-10,2022-06-09
2022-06-10,2022-07-13
2022-07-14,2022-08-12
2022-08-15,2022-09-14
2022-09-15,2022-10-14
2022-10-17,2022-11-15
